X,Y,OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
-1.5616,12.2383,46,Burkina Faso,2020/05/21 01:32:45+00,12.2383,-1.5616,809,52,661,96,3.87020638581183,,,6.42768850432633,854,BFA
95.956,21.9162,47,Burma,2020/05/21 01:32:45+00,21.9162,95.956,199,6,108,85,0.365742976347236,,,3.01507537688442,104,MMR
29.9189,-3.3731,48,Burundi,2020/05/21 01:32:45+00,-3.3731,29.9189,42,1,20,21,0.353214814064778,,,2.38095238095238,108,BDI
-23.0418,16.5388,49,Cabo Verde,2020/05/21 01:32:45+00,16.5388,-23.0418,349,3,85,261,62.7711389454449,,,0.859598853868195,132,CPV
104.9167,11.55,50,Cambodia,2020/05/21 01:32:45+00,11.55,104.9167,122,0,122,0,0.729709980357045,,,0,116,KHM
11.5021,3.848,51,Cameroon,2020/05/21 01:32:45+00,3.848,11.5021,3733,146,1595,1992,14.0624543243347,,,3.91106348781141,120,CMR
20.9394,6.6111,52,Central African Republic,2020/05/21 01:32:45+00,6.6111,20.9394,418,0,18,400,8.65466718456637,,,0,140,CAF
18.7322,15.4542,53,Chad,2020/05/21 01:32:45+00,15.4542,18.7322,565,57,177,331,3.4396983439344,,,10.0884955752212,148,TCD
43.3333,-11.6455,55,Comoros,2020/05/21 01:32:45+00,-11.6455,43.3333,34,1,8,25,3.90986608708652,,,2.94117647058824,174,COM
15.2832,-4.2634,56,Congo (Brazzaville),2020/05/21 01:32:45+00,-4.2634,15.2832,420,15,132,273,7.6113265237332,,,3.57142857142857,178,COG
15.307045,-4.322447,57,Congo (Kinshasa),2020/05/21 01:32:45+00,-4.322447,15.307045,1731,61,302,1368,1.93275219312105,,,3.52397458116696,180,COD
-5.5471,7.54,59,Cote d'Ivoire,2020/05/21 01:32:45+00,7.54,-5.5471,2231,29,1083,1119,8.45771757250995,,,1.29986553115195,384,CIV
15.2,45.1,60,Croatia,2020/05/21 01:32:45+00,45.1,15.2,2234,96,1978,160,54.4178845327516,,,4.29722470904208,191,HRV
33.4299,35.1264,62,Cyprus,2020/05/21 01:32:45+00,35.1264,33.4299,922,17,516,389,76.3648983195581,,,1.84381778741866,196,CYP
15.473,49.8175,63,Czechia,2020/05/21 01:32:45+00,49.8175,15.473,8721,304,5830,2587,81.4363120602873,,,3.48583877995643,203,CZE
42.5903,11.8251,65,Djibouti,2020/05/21 01:32:45+00,11.8251,42.5903,1828,9,1052,767,185.019868380833,,,0.492341356673961,262,DJI
-61.371,15.415,66,Dominica,2020/05/21 01:32:45+00,15.415,-61.371,16,0,16,0,22.2250003472656,,,0,212,DMA
30.802498,26.820553,69,Egypt,2020/05/21 01:32:45+00,26.820553,30.802498,14229,680,3994,9555,13.9044149209528,,,4.77897252090801,818,EGY
10.2679,1.6508,71,Equatorial Guinea,2020/05/21 01:32:45+00,1.6508,10.2679,890,7,22,861,63.4361735870305,,,0.786516853932584,226,GNQ
39.7823,15.1794,72,Eritrea,2020/05/21 01:32:45+00,15.1794,39.7823,39,0,39,0,1.09969837247461,,,0,232,ERI
25.0136,58.5953,73,Estonia,2020/05/21 01:32:45+00,58.5953,25.0136,1794,64,956,774,135.239144872484,,,3.56744704570792,233,EST
31.4659,-26.5225,74,Eswatini,2020/05/21 01:32:45+00,-26.5225,31.4659,217,2,97,118,18.7042521574536,,,0.921658986175115,748,SWZ
40.4897,9.145,75,Ethiopia,2020/05/21 01:32:45+00,9.145,40.4897,389,5,122,262,0.338368020419127,,,1.2853470437018,231,ETH
11.6094,-0.8037,77,Gabon,2020/05/21 01:32:45+00,-0.8037,11.6094,1567,12,365,1190,70.4039307588349,,,0.765794511805999,266,GAB
-15.3101,13.4432,78,Gambia,2020/05/21 01:32:45+00,13.4432,-15.3101,24,1,13,10,0.993104544115359,,,4.16666666666667,270,GMB
43.3569,42.3154,79,Georgia,2020/05/21 01:32:45+00,42.3154,43.3569,713,12,475,226,17.8733698070403,,,1.68302945301543,268,GEO
-1.0232,7.9465,80,Ghana,2020/05/21 01:32:45+00,7.9465,-1.0232,6269,31,1898,4340,20.1751073160269,,,0.494496729940979,288,GHA
21.8243,39.0742,81,Greece,2020/05/21 01:32:45+00,39.0742,21.8243,2850,166,1374,1310,27.343228319986,,,5.82456140350877,300,GRC
-61.679,12.1165,82,Grenada,2020/05/21 01:32:45+00,12.1165,-61.679,22,0,17,5,19.552253397204,,,0,308,GRD
-9.6966,9.9456,84,Guinea,2020/05/21 01:32:45+00,9.9456,-9.6966,2863,18,1525,1320,21.8003909602771,,,0.628711142158575,324,GIN
-15.1804,11.8037,85,Guinea-Bissau,2020/05/21 01:32:45+00,11.8037,-15.1804,1089,6,42,1041,55.3354220888436,,,0.550964187327824,624,GNB
-58.93018,4.860416,86,Guyana,2020/05/21 01:32:45+00,4.860416,-58.93018,125,10,47,68,15.8920055583879,,,8,328,GUY
12.4534,41.9029,88,Holy See,2020/05/21 01:32:45+00,41.9029,12.4534,12,0,2,10,1483.31273176761,,,0,336,VAT
19.5033,47.1625,90,Hungary,2020/05/21 01:32:45+00,47.1625,19.5033,3598,470,1454,1674,37.2450273540814,,,13.0628126737076,348,HUN
78.96288,20.593684,91,India,2020/05/21 01:32:45+00,20.593684,78.96288,112028,3434,45422,63172,8.11794521942769,,,3.06530510229585,356,IND
113.9213,-0.7893,92,Indonesia,2020/05/21 01:32:45+00,-0.7893,113.9213,19189,1242,4575,13372,7.01548185485597,,,6.47245817916515,360,IDN
53.688046,32.427908,93,Iran,2020/05/21 01:32:45+00,32.427908,53.688046,126949,7183,98808,20958,151.14244167603,,,5.65817769340444,364,IRN
43.679291,33.223191,94,Iraq,2020/05/21 01:32:45+00,33.223191,43.679291,3724,134,2438,1152,9.25849890545101,,,3.59828141783029,368,IRQ
34.851612,31.046051,95,Israel,2020/05/21 01:32:45+00,31.046051,34.851612,16667,279,13504,2884,192.55873203073,,,1.67396652066959,376,ISR
138.252924,36.204824,97,Japan,2020/05/21 01:32:45+00,36.204824,138.252924,16367,768,11564,4035,12.9407482299987,,,4.69236879085966,392,JPN
36.51,31.24,98,Jordan,2020/05/21 01:32:45+00,31.24,36.51,672,9,446,217,6.5862077752535,,,1.33928571428571,400,JOR
66.9237,48.0196,99,Kazakhstan,2020/05/21 01:32:45+00,48.0196,66.9237,6969,35,3734,3200,37.115134192593,,,0.502224135457024,398,KAZ
37.9062,-0.0236,100,Kenya,2020/05/21 01:32:45+00,-0.0236,37.9062,1029,50,366,613,1.91366026114303,,,4.85908649173955,404,KEN
127.766922,35.907757,101,"Korea, South",2020/05/21 01:32:45+00,35.907757,127.766922,11122,264,10135,723,21.6933435432353,,,2.37367379967632,410,KOR
20.902977,42.602636,102,Kosovo,2020/05/21 01:32:45+00,42.602636,20.902977,989,29,769,191,54.6298372815221,,,2.93225480283114,383,XKS
47.481766,29.31166,103,Kuwait,2020/05/21 01:32:45+00,29.31166,47.481766,17568,124,4885,12559,411.37433167477,,,0.705828779599271,414,KWT
74.766098,41.20438,104,Kyrgyzstan,2020/05/21 01:32:45+00,41.20438,74.766098,1270,14,910,346,19.4660150200998,,,1.10236220472441,417,KGZ
102.495496,19.85627,105,Laos,2020/05/21 01:32:45+00,19.85627,102.495496,19,0,14,5,0.261148426319583,,,0,418,LAO
24.6032,56.8796,106,Latvia,2020/05/21 01:32:45+00,56.8796,24.6032,1016,21,694,301,53.8648564681832,,,2.06692913385827,428,LVA
35.8623,33.8547,107,Lebanon,2020/05/21 01:32:45+00,33.8547,35.8623,961,26,251,684,14.079674254063,,,2.70551508844953,422,LBN
28.233608,-29.609988,108,Lesotho,2020/05/21 01:32:45+00,-29.609988,28.233608,1,0,0,1,0.0466798490560401,,,0,426,LSO
-9.429499,6.428055,109,Liberia,2020/05/21 01:32:45+00,6.428055,-9.429499,238,23,128,87,4.70571766445346,,,9.66386554621849,430,LBR
17.228331,26.3351,110,Libya,2020/05/21 01:32:45+00,26.3351,17.228331,69,3,35,31,1.00417869316185,,,4.34782608695652,434,LBY
9.55,47.14,111,Liechtenstein,2020/05/21 01:32:45+00,47.14,9.55,82,1,55,26,215.014290583947,,,1.21951219512195,438,LIE
23.8813,55.1694,112,Lithuania,2020/05/21 01:32:45+00,55.1694,23.8813,1577,60,1049,468,57.929148647224,,,3.80469245402663,440,LTU
6.1296,49.8153,113,Luxembourg,2020/05/21 01:32:45+00,49.8153,6.1296,3971,109,3728,134,634.369368793692,,,2.74490052883405,442,LUX
46.869107,-18.766947,115,Madagascar,2020/05/21 01:32:45+00,-18.766947,46.869107,371,2,131,238,1.33978457058586,,,0.539083557951482,450,MDG
34.301525,-13.254308,116,Malawi,2020/05/21 01:32:45+00,-13.254308,34.301525,71,3,27,41,0.37114567180111,,,4.22535211267606,454,MWI
101.975766,4.210484,117,Malaysia,2020/05/21 01:32:45+00,4.210484,101.975766,7009,114,5706,1189,21.655442232926,,,1.62648023969182,458,MYS
73.2207,3.2028,118,Maldives,2020/05/21 01:32:45+00,3.2028,73.2207,1186,4,91,1091,219.409407594599,,,0.337268128161889,462,MDV
-3.996166,17.570692,119,Mali,2020/05/21 01:32:45+00,17.570692,-3.996166,931,55,543,333,4.59734152183559,,,5.90762620837809,466,MLI
14.3754,35.9375,120,Malta,2020/05/21 01:32:45+00,35.9375,14.3754,584,6,465,113,132.264647064019,,,1.02739726027397,470,MLT
-10.9408,21.0079,121,Mauritania,2020/05/21 01:32:45+00,21.0079,-10.9408,141,4,7,130,3.03247979422151,,,2.83687943262411,478,MRT
57.552152,-20.348404,122,Mauritius,2020/05/21 01:32:45+00,-20.348404,57.552152,332,10,322,0,26.1054108181766,,,3.01204819277108,480,MUS
28.3699,47.4116,123,Moldova,2020/05/21 01:32:45+00,47.4116,28.3699,6553,228,2953,3372,162.445714053401,,,3.47932244773386,498,MDA
7.4167,43.7333,124,Monaco,2020/05/21 01:32:45+00,43.7333,7.4167,97,4,90,3,247.17154214657,,,4.12371134020619,492,MCO
103.8467,46.8625,125,Mongolia,2020/05/21 01:32:45+00,46.8625,103.8467,140,0,26,114,4.27051647626264,,,0,496,MNG
19.37439,42.708678,126,Montenegro,2020/05/21 01:32:45+00,42.708678,19.37439,324,9,312,3,51.5872636777898,,,2.77777777777778,499,MNE
-7.0926,31.7917,127,Morocco,2020/05/21 01:32:45+00,31.7917,-7.0926,7133,194,4098,2841,19.3250939202816,,,2.71975325949811,504,MAR
35.529562,-18.665695,128,Mozambique,2020/05/21 01:32:45+00,-18.665695,35.529562,156,0,48,108,0.499113194233259,,,0,508,MOZ
18.4904,-22.9576,129,Namibia,2020/05/21 01:32:45+00,-22.9576,18.4904,16,0,14,2,0.629694173282391,,,0,516,NAM
84.25,28.1667,130,Nepal,2020/05/21 01:32:45+00,28.1667,84.25,427,2,45,380,1.46550027031101,,,0.468384074941452,524,NPL
8.081666,17.607789,133,Niger,2020/05/21 01:32:45+00,17.607789,8.081666,920,58,738,124,3.80061070856768,,,6.30434782608696,562,NER
8.6753,9.082,134,Nigeria,2020/05/21 01:32:45+00,9.082,8.6753,6677,200,1840,4637,3.23906732189194,,,2.99535719634566,566,NGA
21.7453,41.6086,135,North Macedonia,2020/05/21 01:32:45+00,41.6086,21.7453,1858,110,1367,381,89.182002323148,,,5.92034445640474,807,MKD
55.923255,21.512583,136,Oman,2020/05/21 01:32:45+00,21.512583,55.923255,6043,30,1661,4352,118.336544196927,,,0.496442164487837,512,OMN
69.3451,30.3753,137,Pakistan,2020/05/21 01:32:45+00,30.3753,69.3451,45898,985,13101,31812,20.7784488452883,,,2.14606300928145,586,PAK
143.95555,-6.314993,139,Papua New Guinea,2020/05/21 01:32:45+00,-6.314993,143.95555,8,0,8,0,0.0894151766838303,,,0,598,PNG
-58.4438,-23.4425,140,Paraguay,2020/05/21 01:32:45+00,-23.4425,-58.4438,833,11,242,580,11.6788853324136,,,1.32052821128451,600,PRY
121.774017,12.879721,142,Philippines,2020/05/21 01:32:45+00,12.879721,121.774017,13221,842,2932,9447,12.0650384142482,,,6.36865592617805,608,PHL
19.1451,51.9194,143,Poland,2020/05/21 01:32:45+00,51.9194,19.1451,19739,962,8183,10594,52.1552725799315,,,4.87360048634683,616,POL
-8.2245,39.3999,144,Portugal,2020/05/21 01:32:45+00,39.3999,-8.2245,29660,1263,6452,21945,290.878221763163,,,4.25826028320971,620,PRT
51.1839,25.3548,145,Qatar,2020/05/21 01:32:45+00,25.3548,51.1839,37097,16,6600,30481,1287.6163634218,,,0.0431301722511254,634,QAT
24.9668,45.9432,146,Romania,2020/05/21 01:32:45+00,45.9432,24.9668,17387,1147,10356,5884,90.3799116754295,,,6.5968827284753,642,ROU
29.8739,-1.9403,147,Rwanda,2020/05/21 01:32:45+00,-1.9403,29.8739,314,0,216,98,2.42429689020614,,,0,646,RWA
-62.782998,17.357822,148,Saint Kitts and Nevis,2020/05/21 01:32:45+00,17.357822,-62.782998,15,0,15,0,28.1997292825989,,,0,659,KNA
-60.9789,13.9094,149,Saint Lucia,2020/05/21 01:32:45+00,13.9094,-60.9789,18,0,18,0,9.80237326348235,,,0,662,LCA
-61.2872,12.9843,150,Saint Vincent and the Grenadines,2020/05/21 01:32:45+00,12.9843,-61.2872,18,0,14,4,16.2239627930453,,,0,670,VCT
12.4578,43.9424,151,San Marino,2020/05/21 01:32:45+00,43.9424,12.4578,656,41,220,395,1932.93653132182,,,6.25,674,SMR
6.613081,0.18636,152,Sao Tome and Principe,2020/05/21 01:32:45+00,0.18636,6.613081,251,8,4,239,114.527676000748,,,3.18725099601594,678,STP
45.079162,23.885942,153,Saudi Arabia,2020/05/21 01:32:45+00,23.885942,45.079162,62545,339,33478,28728,179.655422938222,,,0.542009752977856,682,SAU
-14.4524,14.4974,154,Senegal,2020/05/21 01:32:45+00,14.4974,-14.4524,2714,30,1186,1498,16.2088589715796,,,1.10537951363301,686,SEN
21.0059,44.0165,155,Serbia,2020/05/21 01:32:45+00,44.0165,21.0059,10833,235,5067,5531,123.984677311365,,,2.16929751684667,688,SRB
55.492,-4.6796,156,Seychelles,2020/05/21 01:32:45+00,-4.6796,55.492,11,0,11,0,11.1856823266219,,,0,690,SYC
-11.779889,8.460555,157,Sierra Leone,2020/05/21 01:32:45+00,8.460555,-11.779889,570,34,205,331,7.14555687393169,,,5.96491228070175,694,SLE
103.8333,1.2833,158,Singapore,2020/05/21 01:32:45+00,1.2833,103.8333,29364,22,11207,18135,501.91928917672,,,0.0749216727966217,702,SGP
19.699,48.669,159,Slovakia,2020/05/21 01:32:45+00,48.669,19.699,1496,28,1231,237,27.4010590069717,,,1.8716577540107,703,SVK
14.9955,46.1512,160,Slovenia,2020/05/21 01:32:45+00,46.1512,14.9955,1468,105,1340,23,70.6131802290792,,,7.15258855585831,705,SVN
46.199616,5.152149,161,Somalia,2020/05/21 01:32:45+00,5.152149,46.199616,1573,61,188,1324,9.89730274276092,,,3.87794024157661,706,SOM
22.9375,-30.5595,162,South Africa,2020/05/21 01:32:45+00,-30.5595,22.9375,18003,339,8950,8714,30.3547422814431,,,1.88301949675054,710,ZAF
31.307,6.877,163,South Sudan,2020/05/21 01:32:45+00,6.877,31.307,290,4,4,282,2.59073629529534,,,1.37931034482759,728,SSD
80.771797,7.873054,164,Sri Lanka,2020/05/21 01:32:45+00,7.873054,80.771797,1028,9,584,435,4.8007658809382,,,0.875486381322957,144,LKA
30.2176,12.8628,165,Sudan,2020/05/21 01:32:45+00,12.8628,30.2176,2728,111,286,2331,6.22131237809232,,,4.06891495601173,729,SDN
-56.0278,3.9193,166,Suriname,2020/05/21 01:32:45+00,3.9193,-56.0278,11,1,9,1,1.87510440922279,,,9.09090909090909,740,SUR
38.996815,34.802075,167,Syria,2020/05/21 01:32:45+00,34.802075,38.996815,58,3,36,19,0.331416129120181,,,5.17241379310345,760,SYR
121.0,23.7,168,Taiwan*,2020/05/21 01:32:45+00,23.7,121,440,7,398,35,1.84743736295111,,,1.59090909090909,158,TWN
71.276093,38.861034,169,Tajikistan,2020/05/21 01:32:45+00,38.861034,71.276093,2140,41,641,1458,22.4374116789034,,,1.91588785046729,762,TJK
34.888822,-6.369028,170,Tanzania,2020/05/21 01:32:45+00,-6.369028,34.888822,509,21,183,305,0.852107987092757,,,4.12573673870334,834,TZA
100.992541,15.870032,171,Thailand,2020/05/21 01:32:45+00,15.870032,100.992541,3034,56,2888,90,4.3467062410822,,,1.8457481872116,764,THA
125.727539,-8.874217,172,Timor-Leste,2020/05/21 01:32:45+00,-8.874217,125.727539,24,0,24,0,1.82033035962143,,,0,626,TLS
0.8248,8.6195,173,Togo,2020/05/21 01:32:45+00,8.6195,0.8248,340,12,110,218,4.10690664530109,,,3.52941176470588,768,TGO
-61.2225,10.6918,174,Trinidad and Tobago,2020/05/21 01:32:45+00,10.6918,-61.2225,116,8,107,1,8.2887278303326,,,6.89655172413793,780,TTO
9.537499,33.886917,175,Tunisia,2020/05/21 01:32:45+00,33.886917,9.537499,1045,47,862,136,8.84198135518045,,,4.49760765550239,788,TUN
35.2433,38.9637,176,Turkey,2020/05/21 01:32:45+00,38.9637,35.2433,152587,4222,113987,34378,180.92090110506,,,2.76694607011082,792,TUR
32.290275,1.373333,177,Uganda,2020/05/21 01:32:45+00,1.373333,32.290275,264,0,65,199,0.577162720535187,,,0,800,UGA
